PSA_ID,Domain,Class,English,Kiswahili,Target_Language,Source,Source_URL,Date,Metadata,Ekegusii,Dholuo,Somali
EDU-00011,Education,PSA,"Schools will not have an early midterm break despite recent unrest. Principals are urged to manage student anxieties flexibly, particularly regarding examinations.","Shule hazitakuwa na mapumziko ya kati ya muhula mapema licha ya machafuko ya hivi karibuni. Wakuu wa shule wanahimizwa kusimamia wasiwasi wa wanafunzi kwa njia rahisi, hasa kuhusu mtihani.",,MoE_Kenya_News,https://www.education.go.ke/bitok-rules-out-early-midterm-break-tame-schools-unrest,2026-06-04,Schools,"Masomo naki gísure bwakire bwaki mwaki omogoba. Abanya masomo batarerwe buya bwere bori naki baki obwaki bwaki batarera, nyasa buya bwenyaki bwaki oriegeri.","Masomo ok nyal havingo gi midterm break monyalo noso. Principals bedo kanyakore gi anjiru ma ok nyal ng'eyo, joma ok nyal rabuoro e tekwono.","Dugsiyada ma laha fasax horudhac ah, inkastoo rabshadihii dhawaan jiray. Dugsiyooyinka waxaa lagu boorinayaa inay si dabacsan u maareeyaan niyadda ardayda, gaar ahaan marka laga hadlayo imtixaannada."
EDU-00012,Education,PSA,"The 3rd Annual Educational Assessment Symposium is underway at New Mitihani House, focusing on curriculum and assessment. All educators are encouraged to participate for innovative learning discussions.","Simpozi ya Tathmini ya Elimu ya Mwaka wa Tatu inaendelea katika Nyumba ya New Mitihani, ikijikita katika mtaala na tathmini. Walimu wote wanakumbushwa kushiriki katika majadiliano ya kujifunza kwa ubunifu.",,MoE_Kenya_News,https://www.education.go.ke/cabinet-secretary-education-julius-migos-ogamba-presided-over-official-opening-3rd-annual,2026-05-08,Curriculum,"Symposium ya 3rd Annual Educational Assessment ikoraganje ku New Mitihani House, ikigana ku masomo nakiwandiko. Abana nakiire bongeka kukiriga bakanegere getachane bizururano bwakoriana.","Symposium mar 3rd makongo mag jomokoro mar elimu nochopo e New Mitihani House, ohingo kuom joma chako gi test. Jomokoro manok nyise ka orwako e yath madhi mag joma nyalawa.","Shirka 3aad ee Sanadlaha ah ee Qiimeynta Waxbarashada ayaa socota xarunta New Mitihani House, iyadoo diiradda la saarayo manhajka iyo qiimeynta. Dhamaan macalimiinta waxaa lagu dhiirrigelinayaa inay ka qayb qaataan doodaha waxbarasho ee hal-abuurka leh."
EDU-00013,Education,PSA,KCSE 2025 results have been released. Students can access their results through the KNEC website.,Matokeo ya KCSE 2025 yameachiliwa. Wanafunzi wanaweza kupata matokeo yao kupitia tovuti ya KNEC.,,MoE_Kenya_News,https://www.education.go.ke/ceo-knec-kcse-release-2025-results,2026-01-12,Examinations,Abantu barimanye bwakirori bwa KCSE 2025. Abanyeshule barikwanirira kubakire bwakirori bwabo kwang'ana KNEC website.,KCSE 2025 waki e yo. Duong' gi nyaka en konyi malong' e KNEC website.,Natiijada KCSE 2025 waa la soo saaray. Ardaydu waxay ka heli karaan natiijooyinkooda bogga KNEC.
EDU-00014,Education,PSA,"Kimana Girls in Kajiado County now has an 800-seat multi-purpose hall, new classrooms, a school bakery, and cabro-paving. Students and parents can access these new facilities starting today.","Wasichana wa Kimana katika Kaunti ya Kajiado sasa wana jengo la malengo mengi lenye viti 800, madarasa mapya, tanuri ya shule, na kupigwa kwa zege la cabro. Wanafunzi na wazazi wanaweza kutumia vitu hivi vipya kuanzia leo.",,MoE_Kenya_News,https://www.education.go.ke/commissioning-800-seat-multi-purpose-hall-new-classrooms-school-bakery-and-cabro-paving-school,2025-07-29,Schools,"Kimana Girls e Kajiado County itenana oria 800 yegira, ekiyaki naki yegira, ekibakery isikwana, na cabro-paving. Bakirita naki abogo bakanisibori oria egiireri oria naki omoka.","Kimana Girls ku Kajiado County nyaka ochung' guyo 800, ma ok tendo mar joma nyaka chako, nyaka dala, n'enjinga mar sukulu, kod cabro-paving. Jodong' kata joma ni koyo kod nyaka duto ka nyaka ibiro nyaka chiep kendo tinde chogo.","Kimana Gashaan Kajiado County hadda waxay leedahay hool badan oo fadhiyo 800, fasallo cusub, foorno iskuulka, iyo waddooyin cabro ah. Ardayda iyo waalidiinta waxay ka faa’iideysan karaan xarumahan cusub laga bilaabo maanta."
EDU-00015,Education,PSA,A new multi-storey academic block has been commissioned at Kenya Coast National Polytechnic to enhance training. Students can now access modern facilities for Competency-Based Education and Training.,Jengo jipya la kitaaluma la ghorofa nyingi limezinduliwa katika Kenya Coast National Polytechnic ili kuboresha mafunzo. Wanafunzi sasa wanaweza kufikia vifaa vya kisasa kwa ajili ya Elimu na Mafunzo Yanayolenga Ufanisi.,,MoE_Kenya_News,https://www.education.go.ke/commissioning-academic-block-kenya-coast-national-polytechnic,2026-02-24,Teachers,Ekegusii agokire buya buya bw'ekarati bw'ekare biragoria e Kenya Coast National Polytechnic buya bw'ogokira buya. Abana bakienda bweta buya bw'amakamati bw'ogotegoria ogokiri.,Wang'ni kamano nyaka tijruwore mar mobil ng'ato g'otieko e Kenya Coast National Polytechnic kuom ng'ato mar tich. Aburu mag tich nigi mano ochung' nyaka ng'ato kendo chalo piny e tich mag mbin.,Dhisme cusub oo badan dabaqyo ah ayaa laga furaay Soomaaliya Coast National Polytechnic si kor loogu qaado tababarka. Ardaydu hadda waxay heli karaan xarumo casri ah oo loogu talagalay Waxbarashada iyo Tababarka ku Saleysan Awoodda.
EDU-00016,Education,PSA,"Umma University has inaugurated the Dr. Abdulrahman Al-Sumait Complex, a 10-storey facility for 10,000 students, enhancing access to education.","Chuo Kikuu cha Umma kimezindua Jengo la Dr. Abdulrahman Al-Sumait, la ghorofa 10 lenye uwezo wa wanafunzi 10,000, kuboresha upatikanaji wa elimu.",,MoE_Kenya_News,https://www.education.go.ke/commissioning-dr-abdulrahman-al-sumait-complex-and-break-ground-school-engineering-project-umma,2025-10-01,Schools,"Umma University omokirire oboragani bwa Dr. Abdulrahman Al-Sumait, obokiri bw’amasomo obwakorete buria 10, buya 10,000 baana, bokiranga buya bunyasa bw’amasomo.","Umma University onyalo jorwako Dr. Abdulrahman Al-Sumait Complex, nyumba mar 10, nyaka golo 10,000, nyalo yore piny kuom chik.","Jaamacadda Umma waxay furtay Xarunta Dr. Abdulrahman Al-Sumait, oo ah dhisme 10 dabaq ah oo loogu talagalay 10,000 arday, taasi oo korodhsanaysa fursadaha waxbarasho."
EDU-00017,Education,PSA,The Signet Institute of Australia office is now open at Kabete National Polytechnic for students and stakeholders in TVET.,Ofisi ya Taasisi ya Signet ya Australia sasa imefunguliwa katika Polytechnic ya Kitaifa ya Kabete kwa wanafunzi na wadau katika TVET.,,MoE_Kenya_News,https://www.education.go.ke/commissioning-signet-institute-australia,2025-07-24,General,Bwakirori bu Signet Institute of Australia buya buhashi na Kabete National Polytechnic buya bwanaki bosi na bwakira bwi TVET.,Ofisi ma Signet Institute of Australia yi jacha kuom Kabete National Polytechnic mokuongo kuom student gi stakeholders e TVET.,Xarunta Signet Institute of Australia ayaa hadda furan oo ku taalla Kabete National Polytechnic ee ardayda iyo daneeyayaasha TVET.
EDU-00018,Education,PSA,The Ministry of Education is committed to collaborating with school administrators to address challenges in learning; all heads of institutions are encouraged to engage and support ongoing improvements.,Wizara ya Elimu ina dhamira ya kushirikiana na wasimamizi wa shule kutatua changamoto katika kujifunza; wakuu wa taasisi wote wanahimizwa kuhusika na kusaidia maboresho yanayoendelea.,,MoE_Kenya_News,https://www.education.go.ke/commitment-tackle-challenges-grade-10,2026-06-24,Schools,Minisompia ya Ekegusii ikoragania na abwere buya bwakiruga buya nyakiere buya buero; abere b’iebwi b’amasomo nakiya kuganya na buya bwakuruma buya bwokiracho.,Ministry of Education niya okonyo kuom gi diko ma okwayi e ng'ato makelo to orem joma okel ki joma chike; wote konyruokni ne nyal komoyo kendo ng'eyo dhih ohinga.,Wasaaradda Waxbarashada waxay ka go'an tahay inay la shaqeyso maamulka dugsiyada si ay uga jawaabaan caqabadaha waxbarashada; dhammaan madaxda hay'adaha waxa lagu dhiirrigelinayaa inay ka qaybqaataan oo taageeraan horumarka socda.
EDU-00019,Education,PSA,"Bomet University College has been conferred a Charter, enhancing access to quality higher education in Kenya.","Chuo Kikuu cha Bomet kimepewa Hati ya Usajili, ikilenga kuboresha upatikanaji wa elimu ya juu bora nchini Kenya.",,MoE_Kenya_News,https://www.education.go.ke/confirment-charter-bomet-university-college,2026-02-05,General,"Bomet University College ekorirete omogaka, eng'ereirie obiasire bw'oki bw'egesere oria kera omoka kwa Kenya.","Bomet University College yong' bende charita, nopon gi wanga kuom jombo ma okel joruok e Kenya.","Jaamacadda Bomet College ayaa lagu daweeyay Shahaaddo, taasoo kor u qaadaysa helitaanka waxbarashada sare ee tayada leh ee Kenya."
EDU-00020,Education,PSA,The 2025 KCSE results have been released. Students can access their results through the official education website.,Matokeo ya KCSE ya mwaka 2025 yameachiliwa. Wanafunzi wanaweza kupata matokeo yao kupitia tovuti rasmi ya elimu.,,MoE_Kenya_News,https://www.education.go.ke/cs-speech-kcse-release-2025-results,2026-01-12,Examinations,Ebwaki bwakire 2025 buseku bwasangire. Abakere batikire buseku bwabo kubwaki bweganda bwokirigana.,2025 KCSE result yien nende. Wana ziarore in gi kamano oting'o e kanyango kod piya mar thum.,Natiijada KCSE ee 2025 ayaa la sii daayay. Ardaydu waxay ka heli karaan natiijooyinkooda bogga rasmiga ah ee waxbarashada.
EDU-00021,Education,PSA,"New facilities, including seven smart classrooms and a renovated computer lab, have been launched at Kimana Girls School. Students are encouraged to utilize these improvements for enhanced learning.","Vituo vipya, ikihusisha madarasa saba ya kisasa na maabara ya kompyuta iliyokarabatiwa, vimeanzishwa katika Shule ya Wasichana Kimana. Wanafunzi wanahimizwa kutumia maboresho haya kwa ajili ya kujifunza bora.",,MoE_Kenya_News,https://www.education.go.ke/earlier-today-principal-secretary-basic-education-mr-john-ololtuaa-commissioned-key-new-facilities,2026-06-17,Schools,"Ekiro enye, ekiruta ekenyi, omogondo atano ogenda na ibundori ikwenda, baragirira ku Kimana Girls School. Abagire batarora batarorera kumirika ebisimu ki ogenda omose omogendo.","Dhi nyasa, kendo ng'ato mar kanyakla, ne itiyo e Kimana Girls School. Wana ni nigi okaw kanyakla maniegi mondo wach modhiambo.","Fasallo cusub, oo ay ku jiraan todoba fasal oo casri ah iyo lab kompuyuutar oo dib loo renovate-gareeyay, ayaa laga furay Dugsiga Gabdhaha Kimana. Ardayda waxaa lagu dhiirigelinayaa inay ka faa'iideystaan horumaradan si kor loogu qaado waxbarashadooda."
EDU-00022,Education,PSA,The Ministry of Education supports the promotion of indigenous languages and literacy across Kenya. Schools and communities are encouraged to participate in local literacy initiatives.,Wizara ya Elimu inasaidia kukuza lugha za asili na uandishi kote Kenya. Shule na jamii zinahimizwa kushiriki katika mipango ya uandishi wa ndani.,,MoE_Kenya_News,https://www.education.go.ke/education-cs-julius-migos-ogamba-champions-indigenous-literacy-machakos-run-bibleless,2025-07-14,Schools,Osomeka Bwaki bw'Eng'eno obwakire omogusii na omokiragano mu naki. Masomo na omogusi bakenyekerebwe oria bw'egeno buria bw'oguteberekera.,Ministri wa Elimu yiyo nyiso kuom golo lwakni gi jomoko kendo yo joma ne dhi ng'wat. Sukoge kod dhoho gi nyaka togi e golo lwakni marok.,Wasaaradda Waxbarashada waxay taageertaa kor u qaadida luqadaha dhaqanka iyo akhriska guud ahaan Kenya. Dugsiyada iyo bulshooyinka waxaa lagu dhiirrigelinayaa inay ka qayb qaataan hindidaan akhriska ee maxalliga ah.
EDU-00023,Education,PSA,"The proposed Nyamira University College is under establishment, with Kisii University as the mentor institution. Further details will be announced soon.","Chuo Kikuu cha Nyamira kinapangwa kuanzishwa, huku Chuo Kikuu cha Kisii kama taasisi msaidizi. Maelezo zaidi yataripotiwa hivi karibuni.",,MoE_Kenya_News,https://www.education.go.ke/establishment-proposed-nyamira-university-college,2025-10-03,General,"Ikirondo kya Nyamira University College kirikuria, na Kisii University nikikango cha okuigi. Amaka marekire okore na mwaki.","Nyamira University College owinjore, ka Kisii University no ng'wonj lag'ano. Nying' gigo nodhi nyaka weche kendo.","Jaamacadda Nyamira ee la soo jeediyay ayaa la dhisayaa, iyadoo Jaamacadda Kisii tahay hay'adda hagta. Faahfaahin dheeraad ah ayaa la soo bandhgyn doonaa dhawaan."
EDU-00024,Education,PSA,The Government will conduct a census of Technical and Vocational Education Training (TVET) institutions across all 47 counties. Cooperation from institutions is essential for accurate data collection.,Serikali itafanya sensa ya Taasisi za Elimu ya Ufundi na Mafunzo ya Ufundi (TVET) katika kaunti zote 47. Ushirikiano kutoka kwa taasisi ni muhimu kwa ukusanyaji sahihi wa takwimu.,,MoE_Kenya_News,https://www.education.go.ke/first-ever-census-tvet-institions-kenya,2026-05-19,Teachers,Abakireri ba Osongo banochere obwaki bwaki bwaki bwomokiri bwamwaki na Obwere bwabere bwa Technical and Vocational Education Training (TVET) bwere bwomokirabaki busebenze bwana 47. Obwakireri buhaki bworokie busebenze bwere bwokiri bwaki busebenze.,Government noling' ni census efweny kenda gi Technical and Vocational Education Training (TVET) institutions nyaka all 47 counties. Cooperation gi institutions ni konyo chalo mar data mach.,Dowladdu waxay qaban doontaa tirakoobka hay'adaha Waxbarashada Farsamada iyo Xirfadaha (TVET) guud ahaan 47-ka gobal. Wada-shaqeyntu waa muhiim si loo helo xog sax ah.
EDU-00025,Education,PSA,Applications for the Full-Time Special Needs Education Diploma Course at the Kenya Institute of Special Education are now open. Download the application form [here](https://www.kise.ac.ke/sites/default/files/KISE%20DIP%20APPLICATION%20_0.pdf).,Maombi ya kozi ya diploma ya elimu maalum ya mahitaji maalum ya muda wote kwenye Taasisi ya Elimu Maalum ya Kenya yanafunguliwa sasa. Pakua fomu ya maombi [hapa](https://www.kise.ac.ke/sites/default/files/KISE%20DIP%20APPLICATION%20_0.pdf).,,MoE_Kenya_News,https://www.education.go.ke/full-time-sne-diploma-course-kenya-institute-special-education-application,2026-04-10,General,Emotukire buya oria bw'ano kw'orogori buya amakiria matarego b'obuchinga buya ku Kenya Institute of Special Education ichire. Chibwanirire fomori ya orogori [naki](https://www.kise.ac.ke/sites/default/files/KISE%20DIP%20APPLICATION%20_0.pdf).,"Kisomo kanyimorogore ma nyisiyo kanyimorogore mwakwanja pure plarua ""Full-Time Special Needs Education Diploma Course"" ku Kenya Institute of Special Education manokonyo. Wacho kamano kanyimorogore [ng'ato](https://www.kise.ac.ke/sites/default/files/KISE%20DIP%20APPLICATION%20_0.pdf).",Codsiyada loogu talagalay Koorso Diploma ah oo dhameystiran oo ku saabsan Waxbarashada Baahiyaha Gaarka ah ee Machadka Kenya ee Waxbarashada Baahiyaha Gaarka ah ayaa hadda furan. Fadlan soo dejiso foomka codsiga [halkan](https://www.kise.ac.ke/sites/default/files/KISE%20DIP%20APPLICATION%20_0.pdf).
EDU-00026,Education,PSA,The education sector is currently undergoing discussions on funding; stay tuned for updates that may affect educational resources and support.,Sekta ya elimu hivi sasa inajadili masuala ya ufadhili; subiri taarifa zitakazoweza kuathiri rasilimali za elimu na msaada.,,MoE_Kenya_News,https://www.education.go.ke/funding-education-sector,2025-08-20,General,Ekiogo chireta naki naki oria yakirire omokiri bwakire; muiga bwakire buya okire buya buya bwakire busoka na buya bwaki.,Biro chike mag edudzi olok konyo kuom funding; chako gweng' kuom ndalo mang'wonni mane en kanyango kod chunyi.,Waqtigaan waxbarashada waxaa ka soconaya wadahadalo ku saabsan maalgelinta; la soco wararka cusub ee saameyn kara agabka iyo taageerada waxbarashada.
EDU-00027,Education,PSA,"Gretsa University has been granted a Charter, expanding access to higher education in Kenya. Students interested in enrolling should consider Gretsa University for their studies.","Chuo Kikuu cha Gretsa kimepatiwa Hati, kuongeza upatikanaji wa elimu ya juu nchini Kenya. Wanafunzi wanaotaka kujiandikisha wanapaswa kuzingatia Chuo Kikuu cha Gretsa kwa masomo yao.",,MoE_Kenya_News,https://www.education.go.ke/grant-charter-gretsa-university,2025-11-19,General,"Gretsa University emonagwi ekichacha, omokiri eng'ang'ina ya nasibori ya chire moke e Kenya. Abana babere orokire ing'enda kugwanera Gretsa University buya bwo liane.","Gretsa University e nangi Charter, kendo ne oing'ogi gi chula buo kuom edukatio mar ganda e Kenya. Tich moloyo kuom yech kod kanyo gi Gretsa University manok joge.","Jaamacadda Gretsa waxay heshay Shati, taasoo kordhinaysa helitaanka waxbarashada sare ee Kenya. Ardayda danaynaysa inay iska diiwaan galiyaan waa inay tixgeliyaan Jaamacadda Gretsa si ay u bartaan."
EDU-00028,Education,PSA,"The National Education Conference is now a permanent event in the Ministry of Education's Calendar of Activities, facilitating ongoing collaboration among education stakeholders.","Mkutano wa Kitaifa wa Elimu sasa ni tukio la kudumu katika Kalenda ya Shughuli za Wizara ya Elimu, ukiratibu ushirikiano endelevu kati ya washikadau wa elimu.",,MoE_Kenya_News,https://www.education.go.ke/h-president-william-ruto-officially-opened-2nd-national-conference-educationat-lake-naivasha-resort,2026-05-08,General,"Konferensi ya Kitaifa ya Elimu ikore omokogoti bwakire mu Kalendar ya Nyasa ya Wizara ya Elimu, ikireri omogogooja bwakire buya bwenyibori bwaki.","Konferen nigi mar masomo en oketi to otino ni gima Ministry of Education otemo ng'ato ma oketh timo, oting'o gigo mag wedo piny mar masomo.","Shirweynaha Aqoonsiga Qaranka ee Waxbarashada ayaa hadda noqday dhacdo joogto ah oo ku jirta Jadwalka Hawlaha Wasaaradda Waxbarashada, isagoo fududeeya iskaashiga joogtada ah ee ka dhexeeya daneeyayaasha waxbarashada."
