PSA_ID,Domain,English,Kiswahili2,Somali,Dholuo,Kiswahili,Target_Languages,Source,Date,Metadata,Date_dt,en_len,sw_len
PSA000011,health,Do not consume meat from animals that have died from unknown causes. Report such incidents to veterinary officers.,Usile nyama ya wanyama waliokufa kutokana na sababu zisizojulikana. Ripoti matukio kama hayo kwa maafisa wa mifugo.,Ha cunin hilibka xoolaha sababo aan la garanayn awgood. Dhacdooyinka noocaas ah u sheeg saraakiisha caafimaadka xoolaha.,,Usile nyama kutoka kwa wanyama waliokufa kutokana na sababu zisizojulikana. Ripoti tukio kama hilo kwa maafisa wa mifugo.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Education,2024-12-22,"{""type"": ""handcrafted_template"", ""psa_score"": 7, ""language_detected"": ""en-sw"", ""urgency_level"": ""low"", ""generated_at"": ""2026-07-22T07:10:05.935639""}",2024-12-22,114,121
PSA000012,health,All pregnant women are encouraged to attend antenatal clinics at least four times during pregnancy.,Wanawake wote wajawazito wanahimizwa kuhudhuria kliniki za ujauzito angalau mara nne wakati wa ujauzito.,Dhammaan haweenka uurka leh waxaa lagu dhiirigelinayaa inay tagaan xarumaha dhalmada kahor ugu yaraan afar jeer inta ay uurka leeyihiin.,,Wanawake wote wajawazito wahimizwa kuhudhuria vituo vya kliniki ya wajawazito angalau mara nne wakati wa ujauzito.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",National Police Service,2025-07-18,"{""type"": ""handcrafted_template"", ""psa_score"": 3, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935657""}",2025-07-18,99,114
PSA000013,health,The Ministry cautions against self-medication with antibiotics. Always consult a qualified medical practitioner.,Wizara inaonya dhidi ya kujitibu kwa kutumia viuavijasumu. Daima wasiliana na mtaalamu wa matibabu aliyehitimu.,Wasaaraddu waxay ka digaysaa in qofku iskiis u qaato daawada antibiyootikada. Had iyo jeer la tasho dhakhtar aqoon u leh.,,Wizara inatoa tahadhari dhidi ya kujitibia kwa dawa za kupigana na bakteria. Daima shauriana na mtaalamu wa matibabu.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",IEBC Kenya,2024-08-16,"{""type"": ""handcrafted_template"", ""psa_score"": 3, ""language_detected"": ""en-sw"", ""urgency_level"": ""urgent"", ""generated_at"": ""2026-07-22T07:10:05.935676""}",2024-08-16,112,117
PSA000014,health,Residents of flood-prone areas must take precautions against waterborne diseases. Use water purification tablets.,Wakazi wa maeneo yanayokumbwa na mafuriko lazima wachukue tahadhari dhidi ya magonjwa yanayosababishwa na maji. Tumia tembe za kusafisha maji.,Dadka deggan meelaha ay daadadku ku badan yihiin waa inay qaataan taxaddarro ka dhan ah cudurrada biyaha ka dhasha. Isticmaal kiniiniyada nadiifinta biyaha.,,Wakazi wa maeneo yaliyo hatarini ya mafuriko lazima wachukue tahadhari dhidi ya magonjwa yanayoenezwa kwa maji. Tumia vidonge vya kusafisha maji.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",National Disaster Operations Centre,2025-06-05,"{""type"": ""handcrafted_template"", ""psa_score"": 3, ""language_detected"": ""en-sw"", ""urgency_level"": ""high"", ""generated_at"": ""2026-07-22T07:10:05.935694""}",2025-06-05,113,145
PSA000015,health,All schools must enforce strict hygiene protocols to prevent influenza outbreaks among students.,Shule zote lazima zitekeleze taratibu kali za usafi ili kuzuia milipuko ya mafua miongoni mwa wanafunzi.,Dhammaan iskuulladu waa inay hirgeliyaan hab-raacyada nadaafadda ee adag si looga hortago faafitaanka hargabka ee ardayda.,,Shule zote lazima zitekeleze kanuni kali za usafi ili kuzuia mlipuko wa homa ya kifua kikuu miongoni mwa wanafunzi.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Agriculture,2025-03-24,"{""type"": ""handcrafted_template"", ""psa_score"": 6, ""language_detected"": ""en-sw"", ""urgency_level"": ""urgent"", ""generated_at"": ""2026-07-22T07:10:05.935713""}",2025-03-24,96,115
PSA000016,education,"The Ministry of Education announces that all schools will reopen on January 8th, 2026. Parents should prepare accordingly.","Wizara ya Elimu inatangaza kwamba shule zote zitafunguliwa tena tarehe 8 Januari, 2026. Wazazi wanapaswa kujiandaa ipasavyo.","Wasaaradda Waxbarashada ayaa ku dhawaaqday in dhammaan iskuullada dib loo furi doono Janaayo 8, 2026. Waalidiintu waa inay si waafaqsan isu diyaariyaan.",,"Wizara ya Elimu inatangaza kwamba shule zote zitafunguliwa Januari 8, 2026. Wazazi wanapaswa kuandaa kulingana na hivyo.","{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",IEBC Kenya,2025-05-20,"{""type"": ""handcrafted_template"", ""psa_score"": 7, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935731""}",2025-05-20,122,120
PSA000017,education,"All KCSE candidates must verify their examination registration details online before Friday, 5th March.","Watahiniwa wote wa KCSE lazima wathibitishe maelezo yao ya usajili wa mtihani mtandaoni kabla ya Ijumaa, tarehe 5 Machi.","Dhammaan ardayda imtixaanka KCSE waa inay si online ah u xaqiijiyaan diiwaan gelinta imtixaanka kahor Jimcaha, 5 Maarso.",,"Watahiniwa wote wa KCSE lazima wathibitishe maelezo yao ya usajili wa mtihani mtandaoni kabla ya Ijumaa, Machi 5.","{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Social Health Authority,2025-12-22,"{""type"": ""handcrafted_template"", ""psa_score"": 7, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935750""}",2025-12-22,103,113
PSA000018,education,Parents are reminded that the deadline for Form One admission confirmation is extended to April 30th.,Wazazi wanakumbushwa kwamba tarehe ya mwisho ya uthibitisho wa kujiunga na kidato cha kwanza imeongezwa hadi Aprili 30.,Waalidiinta waxaa la xasuusinayaa in waqtiga kama dambaysta ah ee xaqiijinta ogolaanshaha Foomka Koowaad la kordhiyo ilaa Abriil 30keeda.,,Wazazi wamekumbushwa kwamba tarehe ya mwisho ya kuthibitisha kuingia Kidato cha Kwanza imeongezwa hadi Aprili 30.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Kenya Meteorological Department,2026-02-20,"{""type"": ""handcrafted_template"", ""psa_score"": 4, ""language_detected"": ""en-sw"", ""urgency_level"": ""low"", ""generated_at"": ""2026-07-22T07:10:05.935768""}",2026-02-20,101,113
PSA000019,education,The Teachers Service Commission urges all teachers to report to their stations by 7:00 AM daily.,Tume ya Huduma kwa Walimu inawasihi walimu wote kuripoti vituoni mwao ifikapo saa 1:00 asubuhi kila siku.,Guddiga Adeegga Macallimiinta wuxuu ku boorinayaa dhammaan macallimiinta inay iska xaadiriyaan saldhigyadooda 7:00 subaxnimo maalin kasta.,,Tume ya Huduma ya Walimu inawahimiza walimu wote kuripoti kwenye vituo vyao saa 1:00 asubuhi kila siku.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Social Health Authority,2024-06-08,"{""type"": ""handcrafted_template"", ""psa_score"": 6, ""language_detected"": ""en-sw"", ""urgency_level"": ""high"", ""generated_at"": ""2026-07-22T07:10:05.935788""}",2024-06-08,96,103
PSA000020,education,NOTICE: All boarding schools must submit updated student health records to the county education office by end of month.,TANGAZO: Shule zote za bweni lazima ziwasilishe rekodi mpya za afya ya wanafunzi kwa ofisi ya elimu ya kaunti ifikapo mwisho wa mwezi.,OGAYSIIS: Dhammaan dugsiyada hoyga ah waa inay diiwaannada caafimaadka ardayda ee la cusbooneysiiyay u soo gudbiyaan xafiiska waxbarashada degmada dhammaadka bisha.,,ILANI: Shule zote za bweni lazima ziwasilishe rekodi za afya za wanafunzi zilizosasishwa kwenye ofisi ya elimu ya kaunti ifikapo mwisho wa mwezi.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Agriculture,2026-04-03,"{""type"": ""handcrafted_template"", ""psa_score"": 5, ""language_detected"": ""en-sw"", ""urgency_level"": ""low"", ""generated_at"": ""2026-07-22T07:10:05.935806""}",2026-04-03,119,145
PSA000021,education,Students are advised to avoid examination malpractice. Strict penalties await those caught cheating.,Wanafunzi wanashauriwa kuepuka makosa ya mtihani. Adhabu kali zinawasubiri wale wanaopatikana wakidanganya.,Ardayda waxaa lagula talinayaa inay ka fogaadaan khaladaadka imtixaanka. Ciqaab adag ayaa sugeysa kuwa lagu qabto inay wax khiyaameeyaan.,,Wanafunzi washauriwa kuepuka udanganyifu katika mitihani. Adhabu kali zinawasubiri wale wanaobainika wakidanganya.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Social Health Authority,2025-01-01,"{""type"": ""handcrafted_template"", ""psa_score"": 7, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935824""}",2025-01-01,100,114
PSA000022,education,"The government announces 20,000 new teaching positions. Applications open on the TSC portal from Monday.","Serikali yatangaza nafasi 20,000 mpya za kufundisha. Maombi yanafunguliwa kwenye lango la TSC kuanzia Jumatatu.","Dowladdu waxay ku dhawaaqday 20,000 oo boosas cusub oo macallinimo ah. Codsiyada waxay ka furmi doonaan bogga TSC laga bilaabo Isniinta.",,"Serikali inatangaza nafasi 20,000 mpya za ualimu. Maombi yafunguliwa kwenye portal ya TSC kuanzia Jumatatu.","{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Kenya Meteorological Department,2024-08-31,"{""type"": ""handcrafted_template"", ""psa_score"": 4, ""language_detected"": ""en-sw"", ""urgency_level"": ""urgent"", ""generated_at"": ""2026-07-22T07:10:05.935841""}",2024-08-31,104,107
PSA000023,education,All schools in flood-affected counties will remain closed until further notice from the Ministry.,Shule zote katika kaunti zilizoathiriwa na mafuriko zitabaki kufungwa hadi taarifa zaidi kutoka kwa Wizara.,Dhammaan dugsiyada ku yaal degmooyinka ay fatahaaduhu saameeyeen ayaa xirnaan doona ilaa amar dambe oo ka soo baxa Wasaaradda.,,Shule zote katika kaunti zilizoathiriwa na mafuriko zitabaki zimefungwa hadi tangazo jipya kutoka kwa Wizara.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",National Disaster Operations Centre,2024-01-14,"{""type"": ""handcrafted_template"", ""psa_score"": 6, ""language_detected"": ""en-sw"", ""urgency_level"": ""urgent"", ""generated_at"": ""2026-07-22T07:10:05.935859""}",2024-01-14,97,109
PSA000024,education,Parents must ensure all students have valid medical insurance coverage before reporting to school.,Wazazi lazima wahakikishe wanafunzi wote wana bima halali ya matibabu kabla ya kuripoti shuleni.,Waalidiintu waa inay hubiyaan in dhammaan ardaydu ay haystaan ​​caymis caafimaad oo ansax ah ka hor inta aysan iskuulka soo xaadirin.,,Wazazi lazima wahakikishe kuwa wanafunzi wote wana bima halali ya matibabu kabla ya kuripoti shuleni.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Agriculture,2025-06-26,"{""type"": ""handcrafted_template"", ""psa_score"": 3, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935883""}",2025-06-26,98,101
PSA000025,education,The Ministry directs all schools to implement the new competency-based curriculum starting next term.,Wizara inaelekeza shule zote kutekeleza mtaala mpya unaozingatia uwezo kuanzia muhula ujao.,Wasaaraddu waxay faray dhammaan dugsiyada inay hirgeliyaan manhajka cusub ee ku salaysan kartida laga bilaabo xilliga xiga.,,Wizara inaagiza shule zote kutekeleza mtaala mpya wa kulingana na uwezo kuanzia muhula ujao.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",National Drought Management Authority,2024-09-29,"{""type"": ""handcrafted_template"", ""psa_score"": 6, ""language_detected"": ""en-sw"", ""urgency_level"": ""medium"", ""generated_at"": ""2026-07-22T07:10:05.935901""}",2024-09-29,101,92
PSA000026,education,Students with special needs should register with the county education assessment center before enrollment.,Wanafunzi wenye mahitaji maalum wanapaswa kujiandikisha na kituo cha tathmini ya elimu cha kaunti kabla ya kujiandikisha.,Ardayda baahiyaha gaarka ah qaba waa inay iska diiwaangeliyaan xarunta qiimaynta waxbarashada ee degmada ka hor inta aysan isdiiwaangelin.,,Wanafunzi wenye mahitaji maalum wanapaswa kujisajili kwenye kituo cha tathmini cha elimu ya kaunti kabla ya kujiandikisha.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",National Police Service,2025-01-22,"{""type"": ""handcrafted_template"", ""psa_score"": 5, ""language_detected"": ""en-sw"", ""urgency_level"": ""urgent"", ""generated_at"": ""2026-07-22T07:10:05.935923""}",2025-01-22,106,122
PSA000027,education,All university students must complete their national identity registration before graduation clearance.,Wanafunzi wote wa vyuo vikuu lazima wakamilishe usajili wao wa utambulisho wa taifa kabla ya kuhitimu.,Dhammaan ardayda jaamacadda waa inay dhammaystiraan diiwaangelinta aqoonsiga qaranka ka hor inta aan la ansixin qalin-jabinta.,,Wanafunzi wote wa vyuo vikuu lazima wakamilisha usajili wao wa kitambulisho cha kitaifa kabla ya kukubaliwa kuhitimu.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Health,2024-03-06,"{""type"": ""handcrafted_template"", ""psa_score"": 6, ""language_detected"": ""en-sw"", ""urgency_level"": ""high"", ""generated_at"": ""2026-07-22T07:10:05.935942""}",2024-03-06,103,117
PSA000028,education,The Kenya National Examinations Council warns against fake examination papers circulating on social media.,Baraza la Mitihani la Kitaifa la Kenya laonya dhidi ya karatasi bandia za mitihani zinazosambazwa kwenye mitandao ya kijamii.,Golaha Imtixaanaadka Qaranka Kenya ayaa ka digaya waraaqaha imtixaanaadka been abuurka ah ee lagu faafiyo baraha bulshada.,,Baraza la Mitihani ya Taifa la Kenya lawaonya dhidi ya karatasi za mitihani bandia zinazosambaa kwenye mitandao ya kijamii.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",National Disaster Operations Centre,2025-08-13,"{""type"": ""handcrafted_template"", ""psa_score"": 6, ""language_detected"": ""en-sw"", ""urgency_level"": ""high"", ""generated_at"": ""2026-07-22T07:10:05.935960""}",2025-08-13,106,123
PSA000029,education,School administrators are reminded to conduct fire safety drills at least once per term.,Wasimamizi wa shule wanakumbushwa kufanya mazoezi ya usalama wa moto angalau mara moja kwa muhula.,Maamulayaasha iskuulka waxaa la xasuusinayaa inay sameeyaan tababarro ku saabsan badbaadada dabka ugu yaraan hal mar xilli dugsiyeedkiiba.,,Wakurugenzi wa shule wamekumbushwa kufanya mazoezi ya usalama wa moto angalau mara moja kwa muhula.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",National Police Service,2025-12-15,"{""type"": ""handcrafted_template"", ""psa_score"": 3, ""language_detected"": ""en-sw"", ""urgency_level"": ""high"", ""generated_at"": ""2026-07-22T07:10:05.935978""}",2025-12-15,88,99
PSA000030,education,All day schools must provide adequate drinking water and sanitation facilities for all students.,Shule za mchana kutwa lazima zitoe maji ya kunywa na vifaa vya usafi wa mazingira vya kutosha kwa wanafunzi wote.,Iskuullada maalintii oo dhan waa inay bixiyaan biyo ku filan oo la cabbo iyo tas-hiilaad fayadhowr oo loogu talagalay dhammaan ardayda.,,Shule zote za mchana lazima zitoe maji ya kunywa na vifaa vya kutosha vya usafi kwa wanafunzi wote.,"{""Somali"": ""placeholder"", ""Kikuyu"": ""placeholder"", ""Luo"": ""placeholder"", ""Kalenjin"": ""placeholder"", ""Kamba"": ""placeholder""}",Ministry of Health,2024-11-19,"{""type"": ""handcrafted_template"", ""psa_score"": 6, ""language_detected"": ""en-sw"", ""urgency_level"": ""high"", ""generated_at"": ""2026-07-22T07:10:05.935995""}",2024-11-19,96,99
