PSA_Id,Domain,Class,English,Kiswahili,Ekegusii,Dholuo,Somali,Source,Date,Metadata
12,Agriculture,PSA,Farmers and agribusiness stakeholders are encouraged to participate in new opportunities under the Bottom-Up Economic Transformation Agenda (BETA) for agricultural reforms and sugar sector revitalization.,Wakulima na wadau wa biashara ya kilimo wanahimizwa kushiriki katika fursa mpya chini ya Mpango wa Mabadiliko ya Uchumi wa Chini kuelekea Juu (BETA) kwa ajili ya marekebisho ya kilimo na uhuishaji wa sekta ya sukari.,Abagabire batyire naki bw'a nyang'iri bategere abakereri b'achire bw'ekomi  ekoroketi naki Bottom-Up Economic Transformation Agenda (BETA) bw'ekore naki osibori bw'ekibori.,Nakiema kuom farmers ni stakeholders mar agribusiness gir e konyo nyalo chak kendo mar Bottom-Up Economic Transformation Agenda (BETA) kuom sekta mar kager ni kwe.,Beeraleyda iyo daneeyayaasha ganacsiga beeraha waxaa lagu dhiirrigelinayaa inay ka qaybqaataan fursadaha cusub ee ka hooseeya Ajandaha Isbeddelka Dhaqaalaha (BETA) si loogu sameeyo isbedel ku saabsan beeraha iyo dib u noolaynta waaxda sonkorta.,https://kilimo.go.ke/cs-mutahi-kagwe-briefs-rt-hon-raila-odinga-on-agricultural-reforms-sugar-sector-revitalization-under-beta-agenda/,2026-07-14,scraped:MoALD News
13,Agriculture,PSA,A partnership has been formed to address climate challenges in East African agriculture. Farmers are encouraged to stay informed about upcoming initiatives and resources.,Mshikamano umeundwa kukabiliana na changamoto za hali ya hewa katika kilimo cha Afrika Mashariki. Wakulima wanahimizwa kubaki na habari kuhusu mipango na rasilimali zitakazo kuja.,Abakire buya bwakorekeria buya buya naki angete naki osisi mirere ebire buya moke mu isi ya mashamba ya Afurika y'Ababuraru. Abashamba barigwa bamenyane nibwaki bwanye bige na matokari amakire.,Kaka marfondo oseth giro marach e golo maruo e Afrika Mashariki. Abaluhya ng'eyo ka joma osetho ng'ato kewe gima obiro chutho gi gigo mag piny.,Wada shaqeyn ayaa la sameeyay si wax looga qabto caqabadaha cimilada ee wax soo saarka beeraha Bariga Afrika. Beeralayda waxaa lagu dhiirigelinayaa inay si fiican u socdaan barnaamijyada iyo ilooyinka soo socda.,https://kilimo.go.ke/cs-sen-mutahi-kagwe-kilimo-trust-ceo-dr-birungi-korutaro-forge-partnership-to-tackle-climate-challenges-in-east-african-agriculture/,2026-07-14,scraped:MoALD News
14,Agriculture,PSA,The government has waived packaging taxes to support the tea sector. Farmers are encouraged to take advantage of this initiative.,Serikali imeondoa ushuru wa ufungashaji ili kusaidia sekta ya chai. Wakulima wanahimizwa kutumia fursa hii.,Abakinyari bategereje omogendi mwakire okwiitire amang'anya abakiende bware. Abagondo batariri nyasa okuigenya okegia oria.,Oganda osetiyo abich mar packaging ok nyal bende masindo sekta mar ti. Piny ma oting' konyo cham gi konyo mar uwe.,Dowladda waxay ka cafisay canshuuraha baakadka si ay u taageerto qaybta shaaha. Beeralayda waxaa lagu dhiirigelinayaa inay ka faa'iidaystaan fursadan.,https://kilimo.go.ke/government-waives-packaging-taxes-to-boost-tea-sector-cs-mutahi-kagwe-reaffirms-support-for-farmers/,2026-07-14,scraped:MoALD News
15,Agriculture,PSA,The World Bank is collaborating with the Ministry of Agriculture to advance the Digital Agriculture Roadmap. Stay informed for updates on program opportunities.,Benki ya Dunia inashirikiana na Wizara ya Kilimo kuendeleza Ramani ya Kidijitali ya Kilimo. Fuata taarifa za fursa za mpango huu.,Osomeka Ikoranyane otore na Kanyange ka Abagereka buya buya bw'ibire. Naki'ora bwakire buya bw'ebyokoranye.,"World Bank oning' chunyi gi Ministry of Agriculture, ma okinyi Digital Agriculture Roadmap. Chwero ng'ato gi ndalo kuom bura mar program.",Bangiga Adduunka ayaa ka shaqeynaya Wasaaradda Beeraha si loo horumariyo Qorshaha Dijitalka ah ee Beeraha. La soco wixii cusbooneysiin ah fursadaha barnaamijka.,https://kilimo.go.ke/world-bank-pays-courtesy-call-to-cabinet-secretary-ministry-of-agriculture-to-advance-digital-agriculture-roadmap/,2026-07-14,scraped:MoALD News
16,Agriculture,PSA,There is ongoing collaboration between the PS for Agriculture and the World Bank Group regarding Kenya's Digital Agriculture Roadmap. Stay informed for upcoming initiatives.,Kuna ushirikiano unaoendelea kati ya PS wa Kilimo na Kundi la Benki ya Dunia kuhusu Ramani ya Kidijitali ya Kilimo ya Kenya. Endelea kufuatilia mipango ijayo.,Abakire buya bwaki bune okorania na PS wa Agriculture na World Bank Group bwaki buya bwaki buya Kenya's Digital Agriculture Roadmap. Naki minto buya bwaki buya.,Ber tich mar kaurach e PS moko ne Agriculture gi World Bank Group kuom Kenya's Digital Agriculture Roadmap. Ngi tiende kendo wachoni maber e tich.,Waxa jira iskaashi socda oo u dhexeeya PS ee Beeraha iyo Kooxda Bangiga Adduunka oo ku saabsan Qorshaha Dijitaal ah ee Beeraha ee Kenya. La soco mashaariicda soo socda.,https://kilimo.go.ke/ps-for-agriculture-dr-ronoh-hosts-world-bank-group-for-talks-on-kenyas-digital-agriculture-roadmap/,2026-07-14,scraped:MoALD News
17,Agriculture,PSA,The Rockefeller Foundation is partnering with Kenya to enhance food security and promote agricultural innovation. Farmers and agribusiness stakeholders should stay updated on new initiatives.,Shirika la Rockefeller linashirikiana na Kenya kuboresha usalama wa chakula na kuendeleza ubunifu wa kilimo. Wakulima na wadau wa biashara ya kilimo wanapaswa kubaki na ufahamu wa mipango mipya.,Ibanda ya Rockefeller iria na Kenya buya omogori bw'ogekere buya na omokirigo bw'amagari. Abagere n'abashindori b'egikora buya nyakiari iwane naki oria genda.,Rockefeller Foundation nigi timo gi Kenya kuom nyalo dalo oganda mar chakre mi tichni nyando. Maber ma chiegni gi ma-chakre kuom micho dongo ne ok nyal wuokne gi nyasaye.,Hay'adda Rockefeller waxay la shaqaynaysaa Kenya si kor loogu qaado amniga cunnada iyo in la dhiirrigeliyo hal-abuurka beeraha. Beeraleyda iyo daneeyayaasha agribusiness-ka waa inay si joogto ah ula socdaan Hindisayaasha cusub.,https://kilimo.go.ke/kenya-and-rockefeller-foundation-forge-strategic-alliance-to-boost-food-security-and-agricultural-innovation/,2026-07-14,scraped:MoALD News
18,Agriculture,PSA,Farmers are assured of uninterrupted fertilizer supply from the Thika NCPB Depot.,Wakulima wanahakikishiwa usambazaji wa mbolea bila kukatika kutoka Ghala la NCPB Thika.,Abagasi bosiere bwakokere obwakore bweng'ente bw'abakire buya go Thika NCPB Depot.,Dala magweya adhi eyo machielo yore gi fertilizer kubva Thika NCPB Depot.,Beeraleyda waxaa la xaqiijiyay in ay heli doonaan bacriminta aan hakad lahayn oo ka imanaysa Degaanka Thika ee NCPB.,https://kilimo.go.ke/secretary-administration-visits-thika-ncpb-depot-assures-farmers-of-uninterrupted-fertilizer-supply/,2026-07-14,scraped:MoALD News
19,Agriculture,PSA,There are ongoing assessments in Kenya's tea sector. Stakeholders in the tea industry are encouraged to stay informed about developments and implement any necessary adjustments to improve productivity.,Kuna tathmini zinaendelea katika sekta ya chai ya Kenya. Wadau katika sekta ya chai wanahimizwa kubaki na habari kuhusu maendeleo na kufanya marekebisho yoyote muhimu ili kuboresha uzalishaji.,Naki naki jaore chimboko ching’enda omogaka bwakire buya bwetechibori. Abakoresa buya bwakire naboka bwakire bwyoborere buya kwechera ibwakire omokigori bwetechibori.,E nigi duong' mar gi kanyo ka weche matut akati Kenya. Lwaki duto mar tea to nyisowe konyo to kanyal agwendi kod togi ngima e yie kende midwaro motegno.,Waxa socda qiimeyn ku saabsan qeybta shaaha ee Kenya. Qaybaha ka tirsan warshadaha shaaha waxaa lagu dhiirrigelinayaa inay la socdaan horumarka oo ay qaadaan isbeddelada lagama maarmaanka ah si kor loogu qaado wax soo saarka.,https://kilimo.go.ke/cs-mutahi-kagwe-assesses-progress-in-kenyas-tea-sector-at-chai-trading-warehouses/,2026-07-14,scraped:MoALD News
20,Agriculture,PSA,The export ban on macadamia remains in effect. Farmers are advised to stay updated on any future changes regarding this policy.,Marufuku ya kusafirisha macadamia inaendelea kutekelezwa. Wakulima wanashauriwa kufuatilia mabadiliko yoyote kuhusu sera hii.,Omoisho bw'omogori wa macadamia naki naki. Abakung'ana batarorwe no bw'oshure okobori bw'oshoka omogori ino.,"Kadh nyaka ohinga kuom macadamia osebedo gi piny. Wuod ng'ato to, gichako gi loso kadi goyo kuom ng'ato chalo ma odhi nindo.",Bannaanada dhoofinta macadamia waxay sii socotaa. Beeraleyda waxaa lagu talinayaa inay la socdaan isbeddelada mustaqbalka ee siyaasaddan.,https://kilimo.go.ke/cs-mutahi-kagwe-defends-macadamia-export-ban-highlights-progress-in-tea-sector-reform/,2026-07-14,scraped:MoALD News
21,Agriculture,PSA,The 8th Africa Agric Expo 2025 is officially open at KICC. Farmers and agribusiness stakeholders are encouraged to attend and explore opportunities.,Maonyesho ya 8 ya Kilimo Afrika 2025 rasmi yamefunguliwa katika KICC. Wakulima na wadau wa biashara za kilimo wanahimizwa kuhudhuria na kuchunguza fursa.,Emotigori Osotiriri 8 ya Bantu 2025 ikinyekagwa buya KICC. Abanyagachi na abashandisi b’inyaibori barasagwa kuja na gaki ogendete.,Africa Agric Expo 2025 8th ni open rasmi ku KICC. Kachuko mar muduon gi jingo duto ne okinyi ku duto kendo gi thok nyadhi.,Bandhigga 8-aad ee Beeraha Afrika 2025 waxaa si rasmi ah loogu furay KICC. Beeralayda iyo daneeyayaasha ganacsiga beeraha waxaa lagu boorinayaa inay ka soo qayb galaan una baadigoobaan fursadaha.,https://kilimo.go.ke/principal-secretary-dr-kipronoh-ronoh-presides-over-the-official-opening-of-the-8th-africa-agric-expo-2025-at-kicc/,2026-07-14,scraped:MoALD News
22,Agriculture,PSA,There are new agricultural partnerships under discussion that may benefit Kenyan farmers. Stay informed about developments and opportunities related to these initiatives.,Kuna ushirikiano mpya wa kilimo unaozungumziwa ambao unaweza kuwanufaisha wakulima wa Kenya. Fuata maendeleo na fursa zinazohusiana na mipango hii.,Makiaganyia atigi ekerori omokire buya ahaki emokiri nakiye. Tiga na mwaki magetenda buya na kemezere buya kobwakinyang'ore.,Osecho kaka ma nyinga pwodhi kanyge goyo manyiso mar Kenyani. Wacho e yo mar neno gi ng'ato ma gi konyo e miti mar kaka.,Waxaa jira iskaashiyo cusub oo dhinaca beeraha ah oo la falanqeynayo kuwaas oo faa'iido u yeelan kara beeralayda Kenyan. La soco horumarka iyo fursadaha la xiriira hawlahaan.,https://kilimo.go.ke/strengthening-agricultural-partnerships-cs-mutahi-kagwe-meets-with-ifad-president-on-the-sidelines-of-the-48th-ifad-governing-council-in-rome-italy-%f0%9f%87%b0%f0%9f%87%aa%f0%9f%87%ae%f0%9f%87%b9/,2026-07-14,scraped:MoALD News
23,Agriculture,PSA,Farmers and agribusiness stakeholders in the tea sector are encouraged to engage with Dr. Kipronoh Ronoh to discuss strategies for strengthening the sector and boosting earnings.,Wakulima na wadau wa biashara ya kilimo katika sekta ya chai wanahimizwa kuzungumza na Dk. Kipronoh Ronoh ili kujadili mikakati ya kuimarisha sekta hiyo na kuongeza mapato.,Abachara na abashmoseri bateguru boti na badi bochete bingi bakenyore okiro nandi Dr. Kipronoh Ronoh buya obokire bulimbo bwaki na buya ogethe bingi.,"Nigi chano ka owuon gi ondo mar tea, omoka kanyo ka ung'eyo Dr. Kipronoh Ronoh kaka uwacho ng'ato mar piny kod ng'ato ma ok wacho e dwe mar tea gi to nyaka itiyogo.",Beeralayda iyo daneeyayaasha ganacsiga beeraha ee qeybta shaaha waxaa lagu dhiirigelinayaa inay la xiriiraan Dr. Kipronoh Ronoh si ay uga wada hadlaan xeeladaha lagu xoojinayo qeybta iyo kordhinta dakhliga.,https://kilimo.go.ke/ps-dr-kipronoh-ronoh-engages-stakeholders-to-strengthen-tea-sector-and-boost-farmer-earnings/,2026-07-14,scraped:MoALD News
24,Agriculture,PSA,No actionable information available.,Hakuna taarifa inayoweza kutekelezwa.,Amakire abwaki na buya.,Osebedo ni oyang' ka imiyo weche ma osekelo.,Macluumaad wax kala qabta ma jiro.,https://kilimo.go.ke/cs-kagwe-holds-first-meeting-with-departmental-heads-at-the-ministry-of-agriculture-and-livestock-development/,2026-07-14,scraped:MoALD News
25,Agriculture,PSA,Kenya is set to enhance cotton production and the textile industry. Farmers and stakeholders should prepare for upcoming initiatives.,Kenya inaandaa kuboresha uzalishaji wa pamba na sekta ya nguo. Wakulima na wadau wanapaswa kujiandaa kwa mipango ijayo.,Kenya ikirongo omokebura ibori naki omokoya. Abakinyekenye na abaragani bakenye banye bakanunuka oria naki omokebura buse.,Kenya ogend erhore piny ma oketi cotton eyo mag ndal. Chik kanyalo ohinga gi jemborene kuom nyalo ir mang'eyo.,Kenya waxay qorsheynaysaa inay kordhiso soo saarista suufka iyo warshadaha dharka. Beeraleyda iyo daneeyayaasha waa inay iska diyaariyaan hawlaha soo socda.,https://kilimo.go.ke/kenya-to-boost-cotton-production-and-textile-industry-following-insights-from-benin-visit/,2026-07-14,scraped:MoALD News
26,Agriculture,PSA,Farmers in Kericho: The Principal Secretary of Agriculture visited the Tebesonik Tea Factory and Charera Water Project to address your concerns and promote sustainable development.,Wakulima wa Kericho: Katibu Mkuu wa Kilimo alitembelea Kiwanda cha Chai cha Tebesonik na Mradi wa Maji wa Charera ili kujadili matatizo yenu na kukuza maendeleo endelevu.,Abaki bobi Kericho: Obwaki bw’Atuma bw’Endere buya buwaki omokiri w'Omogaka ya Tebesonik na Omokiri wa Charera buya bosi tookwa buse ugwaki naye buya mwaki buse kisibori naki.,Ng'ato mar farm Kericho: Principal Secretary ma Okayo lweny gika teb kaban gi Charera Water Project kuom chiegni ang'wen mag jokoe gi inyal pwodhi.,Farmerska Kericho: Xoghayaha Guud ee Beeraha ayaa booqday Warshadda Tee ee Tebesonik iyo Mashruuca Biyaha Charera si uu uga jawaabo welwelkiinna iyo inuu dhiirrigeliyo horumar joogto ah.,https://kilimo.go.ke/dr-kipronoh-ronoh-paul-principal-secretary-of-agriculture-visits-tebesonik-tea-factory-and-charera-water-project-in-kericho-to-address-farmers-concerns-and-promote-sustainable-development/,2026-07-14,scraped:MoALD News
27,Agriculture,PSA,Farmers in Naivasha are advised to check the NCPB store for updates on the fertilizer subsidy distribution.,Wakulima wa Naivasha wanashauriwa kuangalia ghala la NCPB kwa taarifa za usambazaji wa ruzuku ya mbolea.,Abarutani baki Naivasha bataragane naki oria obokire bisiogia buya bwaki buri NCPB buya bwaki obwatigiri bwokutirihanga.,Oding’gi ma ojogo e Naivasha konyo kuot NCPB store kuom uwacho maler e moko ma piny e vomo mar fertilizers.,Beeraleyda Naivasha waxaa lagu talinayaa inay hubsadaan dukaanka NCPB si ay u helaan warar ku saabsan qaybinta deeqda bacrinta.,https://kilimo.go.ke/the-ps-dr-kipronoh-ronoh-paulcbs-visits-naivasha-ncpb-store-to-assess-fertilizer-subsidy-distribution-progress/,2026-07-14,scraped:MoALD News
28,Agriculture,PSA,The sugar sector is a vital economic pillar and source of livelihood for millions in western Kenya.,Sekta ya sukari ni nguzo muhimu ya uchumi na chanzo cha maisha kwa mamilioni katika magharibi mwa Kenya.,Sekta ya sukari ni nguzo muhimu ya uchumi na chanzo cha riziki kwa mamilioni magharibi mwa Kenya.,"Seche magi ni tayo moko ma okinyi e piny, kendo ni nyingʼni duto mar buoya kuom wach mar mila e Kenya ma mangʼich.",Sektorada sonkorta waa tiir dhaqaale muhiim ah iyo isha nololeed ee malaayiin dadka ah galbeedka Kenya.,https://kilimo.go.ke/the-sugar-sector-remains-a-key-economic-pillar-and-a-livelihood-source-for-millions-especially-in-western-kenya/,2026-07-14,scraped:MoALD News
29,Agriculture,PSA,Farmers in Uasin Gishu are encouraged to participate in National Farmers' Day celebrations aimed at highlighting agricultural transformation.,Wakulima katika Uasin Gishu wanahimizwa kushiriki katika maadhimisho ya Siku ya Wakulima wa Kitaifa yanayolenga kuonyesha mabadiliko katika kilimo.,Abagere baki Uasin Gishu baria batarora omokigo bw'echiire bw'Abagere b'anga omogori buseke obwakuri bwakujonga buseke bori omogorori.,Obi-gi gima an gi Uasin Gishu wan giywono kanyakla to kod nyaka uting' ka iduogo madirgi mang'ongo mar winjruok.,Farmers-ka Uasin Gishu waxaa lagu boorinayaa in ay ka qayb galaan dabaaldegga Maalinta Beeralayda Qaranka si loo muujiyo isbeddelka beeraha.,https://kilimo.go.ke/ps-dr-kipronoh-ronoh-leads-national-farmers-day-celebrations-in-uasin-gishu-to-highlight-agricultural-transformation/,2026-07-14,scraped:MoALD News
